;landmark;x;y;landmark_mpipe;x_mpipe;y_mpipe
0;1;192;477;35;203;478
1;2;205;528;228;209;517
2;3;220;578;148;237;575
3;4;239;630;216;254;627
4;5;268;674;139;282;652
5;6;310;708;137;324;690
6;7;367;728;150;384;712
7;8;431;739;149;445;721
8;9;495;728;153;484;713
9;10;554;702;401;552;677
10;11;600;666;379;575;655
11;12;637;624;366;622;599
12;13;659;570;398;638;567
13;14;664;512;436;648;505
14;15;656;451;402;649;464
15;16;645;395;455;632;390
16;17;628;338;357;622;350
17;18;203;406;72;203;404
18;19;226;373;64;224;382
19;20;264;358;106;247;364
20;21;303;354;66;291;366
21;22;346;357;56;340;366
22;23;413;335;286;420;340
23;24;450;307;296;463;311
24;25;491;286;335;501;283
25;26;540;283;294;534;284
26;27;578;303;302;571;288
27;28;391;385;169;388;380
28;29;401;421;198;398;422
29;30;412;456;6;406;459
30;31;422;493;2;418;502
31;32;385;527;61;391;520
32;33;410;528;243;410;517
33;34;436;528;165;430;529
34;35;458;513;327;453;509
35;36;478;497;461;477;491
36;37;253;444;131;252;443
37;38;275;426;161;275;422
38;39;303;418;159;306;411
39;40;337;423;156;340;421
40;41;308;434;146;302;438
41;42;281;443;145;285;442
42;43;464;384;382;465;384
43;44;488;364;386;479;356
44;45;516;355;388;511;347
45;46;546;358;256;541;362
46;47;522;370;391;524;364
47;48;495;378;375;497;377
48;49;331;606;58;330;603
49;50;367;576;75;368;583
50;51;405;557;38;406;557
51;52;441;551;1;436;550
52;53;472;538;268;467;538
53;54;513;532;305;516;536
54;55;560;539;288;562;530
55;56;532;588;336;540;583
56;57;497;616;315;489;613
57;58;464;629;18;460;626
58;59;427;637;85;430;632
59;60;381;636;107;375;635
60;61;343;603;62;344;600
61;62;412;574;39;413;571
62;63;447;566;14;441;564
63;64;478;554;269;469;553
64;65;548;545;307;544;536
65;66;486;591;318;479;593
66;67;454;603;15;454;603
67;68;418;610;88;429;609
