landmark;x;y;landmark_mpipe;x_mpipe;y_mpipe
0;190;107;143;191;107
1;191;116;116;191;115
2;193;126;137;195;124
3;197;136;213;198;136
4;202;145;138;205;145
5;208;153;135;208;149
6;216;160;150;217;157
7;222;166;176;223;161
8;232;167;152;235;162
9;245;164;377;243;159
10;259;158;378;258;151
11;273;150;379;265;146
12;285;140;397;279;130
13;291;127;288;284;120
14;293;113;361;284;109
15;292;97;323;283;99
16;290;82;454;280;89
17;188;92;53;188;92
18;187;86;54;187;86
19;191;84;66;193;85
20;196;84;66;193;85
21;201;86;107;200;84
22;217;81;285;217;82
23;225;74;296;225;72
24;235;68;334;234;69
25;246;68;293;243;68
26;256;72;301;256;68
27;210;92;168;211;91
28;210;99;245;209;99
29;210;106;3;208;106
30;209;114;4;210;113
31;206;121;64;207;120
32;210;123;98;210;122
33;216;123;164;218;123
34;222;119;326;222;119
35;228;116;460;227;116
36;195;104;7;194;103
37;197;101;160;196;100
38;202;99;158;201;98
39;207;98;133;207;98
40;204;101;153;203;102
41;199;103;145;200;103
42;228;91;382;228;91
43;233;88;385;232;86
44;238;87;373;240;88
45;245;87;339;245;88
46;240;89;373;240;88
47;234;90;380;233;91
48;211;139;43;212;140
49;212;133;40;211;133
50;214;131;39;212;131
51;219;130;11;220;130
52;224;128;302;225;128
53;232;127;269;231;126
54;242;128;306;242;127
55;235;133;405;233;134
56;229;137;314;229;137
57;224;139;17;224;139
58;219;140;84;220;140
59;216;140;181;217;139
60;213;137;146;213;137
61;216;135;88;215;135
62;220;134;87;219;134
63;225;132;317;227;132
64;239;128;307;239;128
65;227;132;317;227;132
66;222;134;14;222;133
67;217;134;81;217;133
