video;frame;AU_m;AU_d;AU_diff
VID-20190313-WA0003;1;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;2;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;3;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;4;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;5;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;6;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;7;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;8;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;9;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;10;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;11;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;12;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;13;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;14;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;15;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;16;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;17;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;18;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;19;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;20;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;21;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;22;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;23;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;24;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;25;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;26;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;27;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;28;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;29;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;30;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;31;4+12+17+20;4+12+17+20;True
VID-20190313-WA0003;32;4+25+28;4+25+28;True
VID-20190313-WA0003;33;4+16+26;4+16+26;True
VID-20190313-WA0003;34;4+16+26;4+16+26;True
VID-20190313-WA0003;35;4+16+26;4+16+26;True
VID-20190313-WA0003;36;4+16+26;4+16+26;True
VID-20190313-WA0003;37;4+16+26;4+16+26;True
VID-20190313-WA0003;38;4+18+70+71;4+18+70+71;True
VID-20190313-WA0003;39;4+18+70+71;4+18+70+71;True
VID-20190313-WA0003;40;4+18+70+71;4+18+70+71;True
